StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q2_6_TEXT,Q3,Q4,Q5,Q6,Q7,Q8,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q10,Q10_6_TEXT,Q11_1,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q13_1,Q14,Q15,Q16,Q16_4_TEXT,Q17,Q18,Q18_7_TEXT,Q19,Q20,Q21,Q22,Q23,visit_frequency,spending_level,motivation_type
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,How often do you purchase coffee or similar beverages from a café or drive-thru?,Which of the following coffee brands have you purchased from in the past month? (Select all that apply) - Selected Choice,Which of the following coffee brands have you purchased from in the past month? (Select all that apply) - Other (specify ______) - Text,How long have you been a Dutch Bros customer?,"On average, how often do you visit a Dutch Bros location?",What time of day do you typically visit Dutch Bros? (Select all that apply),What types of beverages do you typically purchase? (Select all that apply),How much do you typically spend per visit at Dutch Bros?,How do you usually make your purchase?,Please indicate how strongly you agree with each statement (1 = Strongly Disagree to 5 = Strongly Agree): - I see coffee as a key part of my daily routine.,"Please indicate how strongly you agree with each statement (1 = Strongly Disagree to 5 = Strongly Agree): - I prefer brands that promote a fun, positive, and energetic culture.",Please indicate how strongly you agree with each statement (1 = Strongly Disagree to 5 = Strongly Agree): - Supporting community-focused or local brands is important to me.,Please indicate how strongly you agree with each statement (1 = Strongly Disagree to 5 = Strongly Agree): - I’m willing to pay more for unique flavor combinations.,Please indicate how strongly you agree with each statement (1 = Strongly Disagree to 5 = Strongly Agree): - I often share my coffee experiences on social media.,Please indicate how strongly you agree with each statement (1 = Strongly Disagree to 5 = Strongly Agree): - I prefer personalized service and friendly interactions at coffee shops,How would you describe your main reason for visiting Dutch Bros? - Selected Choice,How would you describe your main reason for visiting Dutch Bros? - Other (specify ______) - Text,How would you rate your overall satisfaction with Dutch Bros Coffee? (1 = Extremely dissatisfied to 5 = Extremely  satisfied): - Rating,Please rank the following factors in order of importance when choosing a coffee shop (1 = Most important): - Price,Please rank the following factors in order of importance when choosing a coffee shop (1 = Most important): - Taste / Menu Variety,Please rank the following factors in order of importance when choosing a coffee shop (1 = Most important): - Convenience / Location,Please rank the following factors in order of importance when choosing a coffee shop (1 = Most important): - Customer Service,Please rank the following factors in order of importance when choosing a coffee shop (1 = Most important): - Brand Personality,Please rank the following factors in order of importance when choosing a coffee shop (1 = Most important): - Sustainability / Ethical sourcing,How likely are you to recommend Dutch Bros to friends or family? - Recommendation,"Select ""yes"" if you are still paying attention",How old are you?,How do you describe yourself? - Selected Choice,How do you describe yourself? - Prefer to self-describe - Text,What is your ZIP code?,Which statement best describes your current employment status? - Selected Choice,Which statement best describes your current employment status? - Not working (other) - Text,What was your total household income before taxes during the past 12 months?,What is the highest level of education you have completed?,"Are you now married, widowed, divorced, separated or never married?",Choose one or more races that you consider yourself to be,Lifestyle Descriptors (Select up to 3):,visit_frequency,spending_level,motivation_type
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID2_6_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID9_2""}","{""ImportId"":""QID9_3""}","{""ImportId"":""QID9_4""}","{""ImportId"":""QID9_5""}","{""ImportId"":""QID9_6""}","{""ImportId"":""QID10""}","{""ImportId"":""QID10_6_TEXT""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID12_2""}","{""ImportId"":""QID12_3""}","{""ImportId"":""QID12_4""}","{""ImportId"":""QID12_5""}","{""ImportId"":""QID12_6""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID31""}","{""ImportId"":""QID29""}","{""ImportId"":""QID17""}","{""ImportId"":""QID17_4_TEXT""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID25_7_TEXT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID15""}","{""ImportId"":""QID24""}","{""ImportId"":""QID14""}","{""ImportId"":""QID26""}","{""ImportId"":""visit_frequency""}","{""ImportId"":""spending_level""}","{""ImportId"":""motivation_type""}"
2025-11-11 05:33:48,2025-11-11 05:37:21,1,,100,212,1,2025-11-11 05:37:22,R_65jhetytcwBlp8l,,,,,37.9684,-122.2896,preview,EN,1,"2,3",,1,4,2,"1,2",2,2,1,1,4,1,4,1,2,,2,1,2,3,4,5,6,8,5,2,2,,94803,1,,3,2,4,1,"2,3,5",How often do you purchase coffee or similar beverages from a café or drive-thru?,How much do you typically spend per visit at Dutch Bros?,How would you describe your main reason for visiting Dutch Bros?
2025-11-11 06:31:10,2025-11-11 06:42:47,0,67.169.9.159,100,697,1,2025-11-11 06:42:48,R_6dEtgNLNdXx6RUk,,,,,37.9684,-122.2896,anonymous,EN,4,"2,3",,3,4,2,1,3,1,4,5,5,4,4,5,2,,5,5,6,3,4,1,2,4,6,4,2,,94803,2,,5,5,1,3,"1,2,5",How often do you purchase coffee or similar beverages from a café or drive-thru?,How much do you typically spend per visit at Dutch Bros?,How would you describe your main reason for visiting Dutch Bros?
2025-11-11 06:48:57,2025-11-11 07:07:57,0,67.169.9.159,100,1140,1,2025-11-11 07:07:58,R_5D7OTGjxKUEViWn,,,,,37.9684,-122.2896,anonymous,EN,2,"2,3",,4,4,3,3,5,2,4,4,3,2,3,4,3,,4,1,3,5,2,6,4,4,6,3,2,,94601,1,,4,4,4,3,"3,4,5",How often do you purchase coffee or similar beverages from a café or drive-thru?,How much do you typically spend per visit at Dutch Bros?,How would you describe your main reason for visiting Dutch Bros?
2025-11-11 11:32:26,2025-11-11 11:35:35,0,69.216.98.93,100,189,1,2025-11-11 11:35:36,R_7EfJ0ykq4AXncYc,,,,,37.7794,-122.2178,anonymous,EN,3,"1,2",,3,3,2,1,3,1,5,5,4,1,5,2,1,,5,,,4,6,2,5,5,6,3,1,,94601,1,,3,5,5,7,"3,6",How often do you purchase coffee or similar beverages from a café or drive-thru?,How much do you typically spend per visit at Dutch Bros?,How would you describe your main reason for visiting Dutch Bros?
2025-11-11 11:36:46,2025-11-11 11:39:26,0,172.59.130.251,100,159,1,2025-11-11 11:39:26,R_7qP3Djvv85xHrpp,,,,,37.7428,-122.1745,anonymous,EN,3,"1,2,5",,4,3,"1,3","1,4,5",2,3,5,5,5,5,5,5,3,,5,,,2,,,1,5,6,3,2,,94589,1,,4,2,5,1,"3,6",How often do you purchase coffee or similar beverages from a café or drive-thru?,How much do you typically spend per visit at Dutch Bros?,How would you describe your main reason for visiting Dutch Bros?
2025-11-11 11:36:15,2025-11-11 11:40:05,0,136.152.214.109,100,229,1,2025-11-11 11:40:05,R_3c6PmtOi2gptaUh,,,,,37.8657,-122.2571,anonymous,EN,1,"1,2,3,5",,1,4,3,"3,5",2,1,5,3,5,3,3,5,1,,5,3,4,2,6,5,1,5,6,2,2,,94803,1,,1,2,5,6,"3,4,5",How often do you purchase coffee or similar beverages from a café or drive-thru?,How much do you typically spend per visit at Dutch Bros?,How would you describe your main reason for visiting Dutch Bros?
2025-11-11 11:42:24,2025-11-11 11:46:25,0,146.75.154.184,100,240,1,2025-11-11 11:46:25,R_5llE5n0uL3l0VK8,,,,,37.7353,-121.4403,anonymous,EN,3,"1,2",,3,3,2,1,2,3,5,5,5,5,2,5,1,,4,1,6,5,4,3,2,5,6,4,2,,95330,1,,7,2,1,6,"1,6,7",How often do you purchase coffee or similar beverages from a café or drive-thru?,How much do you typically spend per visit at Dutch Bros?,How would you describe your main reason for visiting Dutch Bros?
2025-11-11 11:41:41,2025-11-11 11:47:47,0,76.191.187.1,100,366,1,2025-11-11 11:47:47,R_3KB0jtEE4hmCbGF,,,,,37.722,-122.1643,anonymous,EN,4,"2,3,5",,4,4,"1,4","2,5",2,2,3,5,5,3,1,5,1,,4,4,5,3,2,1,6,4,6,5,1,,94601,2,,4,6,5,6,"2,4,6",How often do you purchase coffee or similar beverages from a café or drive-thru?,How much do you typically spend per visit at Dutch Bros?,How would you describe your main reason for visiting Dutch Bros?
